Date,Block,dexTVL,bridgeTVL,liquidStakingTVL,crowdloanTVL,LPTokenStakingTVL,lcdotTVL,stableCoinTVL,OverallTVL
2022-02-10,382658,0,4166200000,0,677340384.220242,12859946.2620839,502363723.757948,7341784.26352127,4688765454.28355
2022-02-11,389478,16094235.9655965,3783000000,0,615039766.095045,16981772.7138863,456157161.676424,17382712.4536085,4289615882.80952
2022-02-12,396298,17016889.9578165,3766800000,0,612405971.696224,17499951.7103994,454203752.736652,18165974.700905,4273686569.10577
2022-02-13,403080,16954607.5306927,3740600000,0,608146378.285785,17607850.7629138,451044535.809366,18378380.236677,4244585374.33965
2022-02-14,409851,16790367.5061134,3752200000,0,610032305.139261,17696564.0619286,452443273.074882,18606109.0737251,4257736313.71665
2022-02-15,416618,17201570.4317863,4027800000,0,654839325.89945,17829240.4739195,485675341.210759,22576976.283002,4571083128.39947
2022-02-16,423364,19156533.7781361,3994800000,0,649474189.161111,20650471.3044044,481696174.851964,25420112.2899271,4541723292.22443
2022-02-17,429431,18765765.2901272,3633800000,0,590782844.841706,19849903.5451367,438166506.50272,24404857.8974358,4134987033.23542
2022-02-18,435379,18569217.2555869,3564400000,0,579499799.701078,19835430.2009118,429798199.069375,24337215.0198476,4056940061.54572
2022-02-19,441244,18878529.7026372,3567600000,0,580020055.384795,19740153.0543629,430184057.625379,24803661.17874,4061206401.56112
2022-02-20,447046,19023121.4427403,3426800000,0,557128805.301216,19973860.2332033,413206281.161187,30189556.925988,3909192819.76312
2022-02-21,452805,20067041.1319123,3249000000,0,528222098.87465,20531418.8543343,391767015.143194,30621758.8730798,3711987234.00252
2022-02-22,458591,19701248.6416253,3265400000,0,530888409.253703,20302878.6426433,393744540.242716,30963722.165003,3730112389.69199
2022-02-23,464375,19537419.1763701,3212600000,0,522304190.472361,19901682.2783946,387377874.068644,30455664.1378184,3669872639.66123
2022-02-24,470299,18494708.7571567,3193200000,0,519150140.389822,19256956.2821569,385038606.572867,30264104.3855243,3646254375.99771
2022-02-25,476519,19319180.7358453,3448400000,0,560640531.16631,20215913.4362859,415810826.414216,32588261.563796,3936334182.15014
2022-02-26,483026,19450985.8812478,3600600000,0,585385192.123134,20814560.9315311,434163223.984174,34170399.4423496,4109199170.2393
2022-02-27,489670,19361671.2904311,3486200000,0,566786051.430226,20421553.3415193,420368780.607018,33081045.9830735,3979433051.22204
2022-02-28,496214,19375345.1927294,3758400000,0,611040300.526465,21454200.6289468,453190874.02714,35851413.9035282,4288271833.75235
2022-03-01,502741,19797112.0417049,37738000,0,613544031.004356,21846984.9107599,455047818.327911,36068245.1317904,570498160.412167
2022-03-02,509328,19714554.1024505,37294000,0,606325483.392773,21809479.4650068,449694030.863351,35875336.7182647,564387401.149073
