Date,Block,dexTVL,bridgeTVL,liquidStakingTVL,crowdloanTVL,LPTokenStakingTVL,stableCoinTVL,OverallTVL
2021-12-30,1216792,28477809.3615288,51134081.3922744,0,140764557.853914,25507570.2572875,,
2021-12-31,1223729,27960330.9928842,48351234.5331327,0,139511713.699139,25103933.6919324,28130859.2219959,129546358.439945
2022-01-01,1230690,28936720.2333709,49930894.9169998,0,143766372.448755,26160724.6886472,28862132.7693323,133890472.60835
2022-01-02,1237666,28994198.9057642,51315701.1909827,0,147915792.289371,26526359.5028566,29765768.0914687,136602027.691072
2022-01-03,1244636,28394734.0239796,50409233.610356,0,145229694.421533,26154090.2386074,28808840.7949489,133766898.667892
2022-01-04,1251539,28279294.0530162,52019213.4068068,0,150381389.585968,26588509.1509149,19511557.3795619,126398573.9903
2022-01-05,1258602,27314933.2348172,44394637.7088564,17723364.7038719,132711275.62702,24319898.58531,25764958.9353321,139517793.168188
2022-01-06,1265574,26758257.4229911,45074352.9428252,17710566.4226826,135913545.286625,24795243.26169,26374687.4716737,140713107.521863
2022-01-07,1272463,26061882.3926039,42014831.1936478,16477193.9961543,127063454.177293,23539055.8673521,24655919.0160176,132748882.465776
2022-01-08,1279512,24834724.0508862,40087529.0160832,15777940.820184,120914495.065657,22439016.1607876,23320805.5046719,126460015.552613
2022-01-09,1286513,24276415.887042,41015465.3158915,16224591.8726951,123710843.219115,22266996.720974,23863866.7605008,127647336.557103
2022-01-10,1293438,23718700.3224065,39980104.9122015,15865354.1450968,120252993.351936,21399214.0548948,23289506.3929707,124252879.82757
2022-01-11,1300364,24179220.987276,40908581.6426771,14949413.1369829,130130416.668183,22158239.230529,23500399.6316611,125695854.629126
2022-01-12,1307287,25224844.554032,43333387.8278724,16031648.5776093,138263880.920983,23105439.229334,24877177.1560994,132572497.344947
2022-01-13,1314250,24947365.6351889,42311229.7281385,15588044.6755249,134655689.755231,22638589.1020021,24798264.4761567,130283493.617011
